,day,item_number,item_name,purchase_price,suggested_retail_price,orders_quantity,sales_quantity,revenue
0,2022-02-09,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,0.0,16.0,23.55
1,2022-02-09,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,0.0,16.0,23.55
2,2022-02-09,80101923,SL MANDARINEN BEH.ES I 750G GS,2.05,3.49,0.0,3.0,10.47
3,2022-02-09,80101923,SL MANDARINEN BEH.ES I 750G GS,2.05,3.49,0.0,3.0,10.47
4,2022-02-09,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.64,0.99,0.0,13.0,12.84
5,2022-02-09,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.64,0.99,0.0,13.0,12.84
6,2022-02-08,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,10.0,14.0,20.71
7,2022-02-08,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,10.0,14.0,20.71
8,2022-02-08,80101923,SL MANDARINEN BEH.ES I 750G GS,2.05,3.49,0.0,3.0,9.89
9,2022-02-08,80101923,SL MANDARINEN BEH.ES I 750G GS,2.05,3.49,0.0,3.0,9.89
10,2022-02-08,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.64,0.99,18.0,18.0,17.66
11,2022-02-08,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.64,0.99,18.0,18.0,17.66
12,2022-02-07,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,10.0,8.0,11.74
13,2022-02-07,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,10.0,8.0,11.74
14,2022-02-07,80101923,SL MANDARINEN BEH.ES I 750G GS,2.05,3.49,0.0,6.0,20.51
15,2022-02-07,80101923,SL MANDARINEN BEH.ES I 750G GS,2.05,3.49,0.0,6.0,20.51
16,2022-02-07,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.64,0.99,0.0,10.0,9.77
17,2022-02-07,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.64,0.99,0.0,10.0,9.77
18,2022-02-06,80317483,ROMA TOMATEN ES I 500G SF,0.9784507042253521,1.5463380281690144,0.0,0.0,
19,2022-02-06,80317483,ROMA TOMATEN ES I 500G SF,0.9784507042253521,1.5463380281690144,0.0,0.0,
20,2022-02-06,80101923,SL MANDARINEN BEH.ES I 750G GS,1.9913207547169816,3.2164150943396237,0.0,0.0,
21,2022-02-06,80101923,SL MANDARINEN BEH.ES I 750G GS,1.9913207547169816,3.2164150943396237,0.0,0.0,
22,2022-02-06,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.674927536231884,1.055314009661836,0.0,0.0,
23,2022-02-06,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.674927536231884,1.055314009661836,0.0,0.0,
24,2022-02-05,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,20.0,18.0,26.82
25,2022-02-05,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,20.0,18.0,26.82
26,2022-02-05,80101923,SL MANDARINEN BEH.ES I 750G GS,1.5,2.49,70.0,29.0,72.0
27,2022-02-05,80101923,SL MANDARINEN BEH.ES I 750G GS,1.5,2.49,70.0,29.0,72.0
28,2022-02-05,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.6,0.79,54.0,27.0,21.27
29,2022-02-05,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.6,0.79,54.0,27.0,21.27
30,2022-02-04,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,20.0,17.0,25.22
31,2022-02-04,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,20.0,17.0,25.22
32,2022-02-04,80101923,SL MANDARINEN BEH.ES I 750G GS,1.5,2.49,0.0,38.0,93.52
33,2022-02-04,80101923,SL MANDARINEN BEH.ES I 750G GS,1.5,2.49,0.0,38.0,93.52
34,2022-02-04,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.6,0.79,36.0,33.0,25.82
35,2022-02-04,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.6,0.79,36.0,33.0,25.82
36,2022-02-03,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,20.0,15.0,21.78
37,2022-02-03,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,20.0,15.0,21.78
38,2022-02-03,80101923,SL MANDARINEN BEH.ES I 750G GS,1.5,2.49,42.0,26.0,63.49
39,2022-02-03,80101923,SL MANDARINEN BEH.ES I 750G GS,1.5,2.49,42.0,26.0,63.49
40,2022-02-03,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.6,0.79,18.0,38.0,29.56
41,2022-02-03,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.6,0.79,18.0,38.0,29.56
42,2022-02-02,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,20.0,6.0,8.94
43,2022-02-02,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,20.0,6.0,8.94
44,2022-02-02,80101923,SL MANDARINEN BEH.ES I 750G GS,1.5,2.49,28.0,20.0,49.61
45,2022-02-02,80101923,SL MANDARINEN BEH.ES I 750G GS,1.5,2.49,28.0,20.0,49.61
46,2022-02-02,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.6,0.79,18.0,17.0,13.36
47,2022-02-02,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.6,0.79,18.0,17.0,13.36
48,2022-02-01,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,10.0,12.0,17.82
49,2022-02-01,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,10.0,12.0,17.82
50,2022-02-01,80101923,SL MANDARINEN BEH.ES I 750G GS,1.5,2.49,28.0,15.0,37.09
51,2022-02-01,80101923,SL MANDARINEN BEH.ES I 750G GS,1.5,2.49,28.0,15.0,37.09
52,2022-02-01,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.6,0.79,18.0,20.0,15.8
53,2022-02-01,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.6,0.79,18.0,20.0,15.8
54,2022-01-31,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,10.0,15.0,22.35
55,2022-01-31,80317483,ROMA TOMATEN ES I 500G SF,0.92,1.49,10.0,15.0,22.35
56,2022-01-31,80101923,SL MANDARINEN BEH.ES I 750G GS,1.5,2.49,42.0,17.0,42.3
57,2022-01-31,80101923,SL MANDARINEN BEH.ES I 750G GS,1.5,2.49,42.0,17.0,42.3
58,2022-01-31,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.6,0.79,36.0,22.0,17.31
59,2022-01-31,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.6,0.79,36.0,22.0,17.31
60,2022-01-30,80317483,ROMA TOMATEN ES I 500G SF,0.9784507042253521,1.5463380281690144,0.0,0.0,
61,2022-01-30,80317483,ROMA TOMATEN ES I 500G SF,0.9784507042253521,1.5463380281690144,0.0,0.0,
62,2022-01-30,80101923,SL MANDARINEN BEH.ES I 750G GS,1.9913207547169816,3.2164150943396237,0.0,0.0,
63,2022-01-30,80101923,SL MANDARINEN BEH.ES I 750G GS,1.9913207547169816,3.2164150943396237,0.0,0.0,
64,2022-01-30,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.674927536231884,1.055314009661836,0.0,0.0,
65,2022-01-30,80028349,UH ZWIEBELN DE-HE I 1KG GS,0.674927536231884,1.055314009661836,0.0,0.0,
